decimalLongitude	decimalLatitude	year	species	pa
-131.5	-2.5	2	sp1	1
27.438	-34.999	2	sp1	1
-80.07	26.3417	2	sp1	1
34.044	-34.052	2	sp1	1
-90	26.31	2	sp1	1
1.5	-4.5	2	sp1	1
29.929	-33.829	2	sp1	1
-9.52094	51.417675	2	sp1	1
-98.5	-35.5	2	sp1	1
137.86802	-34.78176	2	sp1	1
-144.5	15.5	2	sp1	1
-74.505412	35.618351	2	sp1	1
-41.96	45.41	2	sp1	1
-85.56	21.26	2	sp1	1
-44.96	41.6	2	sp1	1
13.518	-29.664	2	sp1	1
5.54605	43.07169	2	sp1	1
-71.451944	41.385556	2	sp1	1
12.7029	-38.3864	2	sp1	1
-48.25	44.28	2	sp1	1
-6.5	-3.5	2	sp1	1
126.5	5.5	2	sp1	1
-6.1992	58.5171	2	sp1	1
35.392	-21.228	2	sp1	1
25.934	-35.65	2	sp1	1
-90.5	-8.5	2	sp1	1
14.832	-31.786	2	sp1	1
27.39375	-39.22611	2	sp1	1
33.323	-27.353	2	sp1	1
-90.5	-5.5	2	sp1	1
132.332467	-11.151367	2	sp1	1
12.4959	-33.5686	2	sp1	1
-50.5	-30.5	2	sp1	1
-1.20262	46.01689	2	sp1	1
-75.476586	36.130956	2	sp1	1
-88.65	27.38	2	sp1	1
6.5	-6.5	2	sp1	1
-129.5	37.5	2	sp1	1
-0.5	-4.5	2	sp1	1
-1.7639	46.5198	2	sp1	1
32.738	-27.45	2	sp1	1
-139.5	33.5	2	sp1	1
-53.942871	5.758447	2	sp1	1
9.5	-7.5	2	sp1	1
-75.383	35.233	2	sp1	1
-80.612691	30.366138	2	sp1	1
33.5957	-40.187	2	sp1	1
32.971	-38.297	2	sp1	1
35.192	-19.962	2	sp1	1
35.726	-33.714	2	sp1	1
177.5	2.5	2	sp1	1
-123.5	-14.5	2	sp1	1
34.52	-25.035	2	sp1	1
-10.20097	53.406717	2	sp1	1
33.923	-27.408	2	sp1	1
-47.8	43.91	2	sp1	1
-40.5	-23.5	2	sp1	1
33.711	-27.565	2	sp1	1
-86.8247	29.687	2	sp1	1
-86.5	6.5	2	sp1	1
-6.271783	58.496531	2	sp1	1
-5.470888	54.689808	2	sp1	1
-70.45217	41.10283	2	sp1	1
-144.5	27.5	2	sp1	1
29.347	-34.804	2	sp1	1
35.7672	-24.2813	2	sp1	1
-1.61994	46.36144	2	sp1	1
-96.5	-30.5	2	sp1	1
24.563	-35.509	2	sp1	1
-41.5	-27.5	2	sp1	1
-63.981271	11.010135	2	sp1	1
133.5	-6.5	2	sp1	1
-85.967	30.005	2	sp1	1
-1.21642	46.19673	2	sp1	1
25.587	-35.66	2	sp1	1
18.841	-39.598	2	sp1	1
35.827	-24.78	2	sp1	1
36.4491	-37.6255	2	sp1	1
-35.5	-24.5	2	sp1	1
-43.61	46.4	2	sp1	1
-118.5	26.5	2	sp1	1
